FirstSecond,Set,Server,WonA,WonB
1,1,Osaka,0,1
1,1,Osaka,1,0
1,1,Osaka,1,0
1,1,Osaka,0,1
1,1,Osaka,1,0
1,1,Osaka,1,0
1,1,Kvitova,0,1
1,1,Kvitova,0,1
1,1,Kvitova,0,1
1,1,Kvitova,0,1
1,1,Osaka,1,0
1,1,Osaka,1,0
1,1,Osaka,1,0
1,1,Osaka,1,0
1,1,Kvitova,1,0
1,1,Kvitova,0,1
1,1,Kvitova,0,1
1,1,Kvitova,0,1
1,1,Kvitova,0,1
1,1,Osaka,0,1
1,1,Osaka,0,1
1,1,Osaka,1,0
1,1,Osaka,1,0
1,1,Osaka,0,1
1,1,Osaka,1,0
1,1,Osaka,0,1
1,1,Osaka,1,0
1,1,Osaka,1,0
1,1,Osaka,0,1
1,1,Osaka,1,0
1,1,Osaka,1,0
1,1,Kvitova,0,1
1,1,Kvitova,1,0
1,1,Kvitova,0,1
1,1,Kvitova,1,0
1,1,Kvitova,1,0
1,1,Kvitova,0,1
1,1,Kvitova,0,1
1,1,Kvitova,0,1
1,1,Osaka,0,1
1,1,Osaka,0,1
1,1,Osaka,0,1
1,1,Osaka,1,0
1,1,Osaka,1,0
1,1,Osaka,1,0
1,1,Osaka,1,0
1,1,Osaka,1,0
1,1,Kvitova,0,1
1,1,Kvitova,0,1
1,1,Kvitova,0,1
1,1,Kvitova,1,0
1,1,Kvitova,0,1
1,1,Osaka,1,0
1,1,Osaka,1,0
1,1,Osaka,1,0
1,1,Osaka,1,0
1,1,Kvitova,0,1
1,1,Kvitova,1,0
1,1,Kvitova,0,1
1,1,Kvitova,0,1
1,1,Kvitova,0,1
1,1,Osaka,1,0
1,1,Osaka,1,0
1,1,Osaka,1,0
1,1,Osaka,0,1
1,1,Osaka,0,1
1,1,Osaka,1,0
1,1,Kvitova,1,0
1,1,Kvitova,0,1
1,1,Kvitova,1,0
1,1,Kvitova,0,1
1,1,Kvitova,1,0
1,1,Kvitova,0,1
1,1,Kvitova,1,0
1,1,Kvitova,0,1
1,1,Kvitova,0,1
1,1,Kvitova,0,1
1,1,Osaka,1,0
1,1,Kvitova,1,0
1,1,Kvitova,0,1
1,1,Osaka,1,0
1,1,Osaka,1,0
1,1,Kvitova,1,0
1,1,Kvitova,0,1
1,1,Osaka,1,0
1,1,Osaka,1,0
1,2,Kvitova,0,1
1,2,Kvitova,0,1
1,2,Kvitova,1,0
1,2,Kvitova,1,0
1,2,Kvitova,0,1
1,2,Kvitova,0,1
1,2,Osaka,1,0
1,2,Osaka,0,1
1,2,Osaka,1,0
1,2,Osaka,0,1
1,2,Osaka,0,1
1,2,Osaka,1,0
1,2,Osaka,1,0
1,2,Osaka,0,1
1,2,Osaka,0,1
1,2,Osaka,0,1
1,2,Kvitova,0,1
1,2,Kvitova,0,1
1,2,Kvitova,1,0
1,2,Kvitova,1,0
1,2,Kvitova,0,1
1,2,Kvitova,1,0
1,2,Kvitova,1,0
1,2,Kvitova,0,1
1,2,Kvitova,0,1
1,2,Kvitova,1,0
1,2,Kvitova,0,1
1,2,Kvitova,1,0
1,2,Kvitova,1,0
1,2,Kvitova,1,0
1,2,Osaka,0,1
1,2,Osaka,1,0
1,2,Osaka,1,0
1,2,Osaka,1,0
1,2,Osaka,0,1
1,2,Osaka,1,0
1,2,Kvitova,1,0
1,2,Kvitova,1,0
1,2,Kvitova,1,0
1,2,Kvitova,1,0
1,2,Osaka,0,1
1,2,Osaka,0,1
1,2,Osaka,1,0
1,2,Osaka,1,0
1,2,Osaka,1,0
1,2,Osaka,1,0
1,2,Kvitova,0,1
1,2,Kvitova,0,1
1,2,Kvitova,1,0
1,2,Kvitova,1,0
1,2,Kvitova,0,1
1,2,Kvitova,0,1
1,2,Osaka,1,0
1,2,Osaka,1,0
1,2,Osaka,0,1
1,2,Osaka,1,0
1,2,Osaka,0,1
1,2,Osaka,1,0
1,2,Kvitova,1,0
1,2,Kvitova,1,0
1,2,Kvitova,1,0
1,2,Kvitova,0,1
1,2,Kvitova,0,1
1,2,Kvitova,0,1
1,2,Kvitova,0,1
1,2,Kvitova,0,1
1,2,Osaka,0,1
1,2,Osaka,0,1
1,2,Osaka,1,0
1,2,Osaka,0,1
1,2,Osaka,0,1
1,2,Kvitova,0,1
1,2,Kvitova,0,1
1,2,Kvitova,1,0
1,2,Kvitova,1,0
1,2,Kvitova,1,0
1,2,Kvitova,0,1
1,2,Kvitova,0,1
1,2,Kvitova,0,1
1,2,Osaka,0,1
1,2,Osaka,0,1
1,2,Osaka,0,1
1,2,Osaka,0,1
1,3,Kvitova,0,1
1,3,Kvitova,0,1
1,3,Kvitova,0,1
1,3,Kvitova,0,1
1,3,Osaka,0,1
1,3,Osaka,1,0
1,3,Osaka,1,0
1,3,Osaka,1,0
1,3,Osaka,1,0
1,3,Kvitova,0,1
1,3,Kvitova,1,0
1,3,Kvitova,1,0
1,3,Kvitova,0,1
1,3,Kvitova,0,1
1,3,Kvitova,1,0
1,3,Kvitova,1,0
1,3,Kvitova,1,0
1,3,Osaka,1,0
1,3,Osaka,0,1
1,3,Osaka,1,0
1,3,Osaka,1,0
1,3,Osaka,0,1
1,3,Osaka,1,0
1,3,Kvitova,1,0
1,3,Kvitova,0,1
1,3,Kvitova,0,1
1,3,Kvitova,0,1
1,3,Kvitova,1,0
1,3,Kvitova,0,1
1,3,Osaka,1,0
1,3,Osaka,0,1
1,3,Osaka,1,0
1,3,Osaka,0,1
1,3,Osaka,0,1
1,3,Osaka,1,0
1,3,Osaka,1,0
1,3,Osaka,1,0
1,3,Kvitova,1,0
1,3,Kvitova,1,0
1,3,Kvitova,1,0
1,3,Kvitova,0,1
1,3,Kvitova,0,1
1,3,Kvitova,0,1
1,3,Kvitova,0,1
1,3,Kvitova,0,1
1,3,Osaka,1,0
1,3,Osaka,1,0
1,3,Osaka,1,0
1,3,Osaka,1,0
1,3,Kvitova,1,0
1,3,Kvitova,0,1
1,3,Kvitova,0,1
1,3,Kvitova,0,1
1,3,Kvitova,0,1
1,3,Osaka,1,0
1,3,Osaka,1,0
1,3,Osaka,1,0
1,3,Osaka,0,1
1,3,Osaka,1,0
