FirstSecond,Set,Server,WonA,WonB
1,1,IsnerJ,1,0
1,1,IsnerJ,1,0
1,1,IsnerJ,0,1
1,1,IsnerJ,0,1
1,1,IsnerJ,0,1
1,1,IsnerJ,0,1
1,1,KyrgiosN,0,1
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,IsnerJ,0,1
1,1,IsnerJ,0,1
1,1,IsnerJ,0,1
1,1,IsnerJ,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,IsnerJ,0,1
1,1,IsnerJ,0,1
1,1,IsnerJ,1,0
1,1,IsnerJ,0,1
1,1,IsnerJ,0,1
1,1,KyrgiosN,0,1
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,IsnerJ,0,1
1,1,IsnerJ,1,0
1,1,IsnerJ,0,1
1,1,IsnerJ,1,0
1,1,IsnerJ,0,1
1,1,IsnerJ,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,IsnerJ,0,1
1,1,IsnerJ,1,0
1,1,IsnerJ,0,1
1,1,IsnerJ,0,1
1,1,IsnerJ,1,0
1,1,IsnerJ,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,IsnerJ,0,1
1,1,IsnerJ,1,0
1,1,IsnerJ,1,0
1,1,IsnerJ,1,0
1,1,IsnerJ,0,1
1,1,IsnerJ,0,1
1,1,IsnerJ,0,1
1,1,IsnerJ,1,0
1,1,IsnerJ,0,1
1,1,IsnerJ,1,0
1,1,IsnerJ,1,0
1,1,IsnerJ,0,1
1,1,IsnerJ,1,0
1,1,IsnerJ,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,2,IsnerJ,0,1
1,2,IsnerJ,1,0
1,2,IsnerJ,0,1
1,2,IsnerJ,0,1
1,2,IsnerJ,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,IsnerJ,1,0
1,2,IsnerJ,0,1
1,2,IsnerJ,0,1
1,2,IsnerJ,0,1
1,2,IsnerJ,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,IsnerJ,0,1
1,2,IsnerJ,0,1
1,2,IsnerJ,0,1
1,2,IsnerJ,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,IsnerJ,1,0
1,2,IsnerJ,0,1
1,2,IsnerJ,0,1
1,2,IsnerJ,0,1
1,2,IsnerJ,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,IsnerJ,0,1
1,2,IsnerJ,0,1
1,2,IsnerJ,0,1
1,2,IsnerJ,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,IsnerJ,1,0
1,2,IsnerJ,0,1
1,2,IsnerJ,0,1
1,2,IsnerJ,0,1
1,2,IsnerJ,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,3,IsnerJ,0,1
1,3,IsnerJ,0,1
1,3,IsnerJ,0,1
1,3,IsnerJ,1,0
1,3,IsnerJ,0,1
1,3,KyrgiosN,0,1
1,3,KyrgiosN,1,0
1,3,KyrgiosN,0,1
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,IsnerJ,1,0
1,3,IsnerJ,1,0
1,3,IsnerJ,0,1
1,3,IsnerJ,0,1
1,3,IsnerJ,0,1
1,3,IsnerJ,0,1
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,KyrgiosN,0,1
1,3,KyrgiosN,1,0
1,3,KyrgiosN,0,1
1,3,KyrgiosN,1,0
1,3,IsnerJ,0,1
1,3,IsnerJ,0,1
1,3,IsnerJ,0,1
1,3,IsnerJ,0,1
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,IsnerJ,0,1
1,3,IsnerJ,0,1
1,3,IsnerJ,0,1
1,3,IsnerJ,0,1
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,KyrgiosN,0,1
1,3,KyrgiosN,1,0
1,3,IsnerJ,1,0
1,3,IsnerJ,0,1
1,3,IsnerJ,0,1
1,3,IsnerJ,0,1
1,3,IsnerJ,1,0
1,3,IsnerJ,0,1
1,3,KyrgiosN,0,1
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,IsnerJ,0,1
1,3,IsnerJ,0,1
1,3,IsnerJ,0,1
1,3,IsnerJ,0,1
1,3,KyrgiosN,0,1
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,IsnerJ,0,1
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,IsnerJ,1,0
1,3,IsnerJ,0,1
1,3,KyrgiosN,1,0
1,3,KyrgiosN,0,1
1,3,IsnerJ,0,1
1,3,IsnerJ,0,1
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,IsnerJ,0,1
1,3,IsnerJ,1,0
1,3,KyrgiosN,0,1
1,3,KyrgiosN,1,0
1,3,IsnerJ,1,0
