FirstSecond,Set,Server,WonA,WonB
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,WawrinkaS,0,1
1,1,WawrinkaS,0,1
1,1,WawrinkaS,0,1
1,1,WawrinkaS,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,WawrinkaS,0,1
1,1,WawrinkaS,1,0
1,1,WawrinkaS,1,0
1,1,WawrinkaS,0,1
1,1,WawrinkaS,1,0
1,1,WawrinkaS,0,1
1,1,WawrinkaS,0,1
1,1,WawrinkaS,0,1
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,WawrinkaS,0,1
1,1,WawrinkaS,0,1
1,1,WawrinkaS,0,1
1,1,WawrinkaS,0,1
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,WawrinkaS,0,1
1,1,WawrinkaS,1,0
1,1,WawrinkaS,0,1
1,1,WawrinkaS,0,1
1,1,WawrinkaS,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,WawrinkaS,0,1
1,1,WawrinkaS,0,1
1,1,WawrinkaS,0,1
1,1,WawrinkaS,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,WawrinkaS,1,0
1,1,WawrinkaS,1,0
1,1,WawrinkaS,0,1
1,1,WawrinkaS,1,0
1,1,WawrinkaS,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,WawrinkaS,0,1
1,2,WawrinkaS,0,1
1,2,WawrinkaS,0,1
1,2,WawrinkaS,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,1,0
1,2,WawrinkaS,1,0
1,2,WawrinkaS,0,1
1,2,WawrinkaS,0,1
1,2,WawrinkaS,0,1
1,2,WawrinkaS,1,0
1,2,WawrinkaS,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,WawrinkaS,0,1
1,2,WawrinkaS,1,0
1,2,WawrinkaS,0,1
1,2,WawrinkaS,1,0
1,2,WawrinkaS,0,1
1,2,WawrinkaS,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,WawrinkaS,0,1
1,2,WawrinkaS,0,1
1,2,WawrinkaS,1,0
1,2,WawrinkaS,0,1
1,2,WawrinkaS,1,0
1,2,WawrinkaS,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,WawrinkaS,1,0
1,2,WawrinkaS,0,1
1,2,WawrinkaS,1,0
1,2,WawrinkaS,0,1
1,2,WawrinkaS,1,0
1,2,WawrinkaS,0,1
1,2,WawrinkaS,1,0
1,2,WawrinkaS,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,WawrinkaS,0,1
1,2,WawrinkaS,1,0
1,2,WawrinkaS,0,1
1,2,WawrinkaS,1,0
1,2,WawrinkaS,0,1
1,2,WawrinkaS,0,1
1,2,KyrgiosN,1,0
1,2,WawrinkaS,1,0
1,2,WawrinkaS,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,WawrinkaS,1,0
1,2,WawrinkaS,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,WawrinkaS,0,1
1,3,WawrinkaS,0,1
1,3,WawrinkaS,1,0
1,3,WawrinkaS,0,1
1,3,WawrinkaS,0,1
1,3,WawrinkaS,0,1
1,3,KyrgiosN,1,0
1,3,KyrgiosN,0,1
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,WawrinkaS,0,1
1,3,WawrinkaS,1,0
1,3,WawrinkaS,0,1
1,3,WawrinkaS,0,1
1,3,WawrinkaS,1,0
1,3,WawrinkaS,0,1
1,3,KyrgiosN,0,1
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,WawrinkaS,1,0
1,3,WawrinkaS,0,1
1,3,WawrinkaS,1,0
1,3,WawrinkaS,1,0
1,3,WawrinkaS,0,1
1,3,WawrinkaS,1,0
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,KyrgiosN,0,1
1,3,KyrgiosN,0,1
1,3,KyrgiosN,1,0
1,3,WawrinkaS,0,1
1,3,WawrinkaS,0,1
1,3,WawrinkaS,0,1
1,3,WawrinkaS,0,1
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,KyrgiosN,0,1
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,WawrinkaS,1,0
1,3,WawrinkaS,0,1
1,3,WawrinkaS,1,0
1,3,WawrinkaS,0,1
1,3,WawrinkaS,0,1
1,3,WawrinkaS,1,0
1,3,WawrinkaS,1,0
1,3,WawrinkaS,0,1
1,3,WawrinkaS,0,1
1,3,WawrinkaS,1,0
1,3,WawrinkaS,1,0
1,3,WawrinkaS,0,1
1,3,WawrinkaS,0,1
1,3,WawrinkaS,0,1
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
1,3,KyrgiosN,1,0
