FirstSecond,Set,Server,WonA,WonB
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,ZverevA,1,0
1,1,ZverevA,0,1
1,1,ZverevA,0,1
1,1,ZverevA,0,1
1,1,ZverevA,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,ZverevA,1,0
1,1,ZverevA,1,0
1,1,ZverevA,1,0
1,1,ZverevA,0,1
1,1,ZverevA,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,ZverevA,0,1
1,1,ZverevA,1,0
1,1,ZverevA,0,1
1,1,ZverevA,0,1
1,1,ZverevA,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,ZverevA,0,1
1,1,ZverevA,0,1
1,1,ZverevA,0,1
1,1,ZverevA,1,0
1,1,ZverevA,0,1
1,1,KyrgiosN,0,1
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,ZverevA,1,0
1,2,ZverevA,1,0
1,2,ZverevA,0,1
1,2,ZverevA,0,1
1,2,ZverevA,0,1
1,2,ZverevA,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,ZverevA,0,1
1,2,ZverevA,0,1
1,2,ZverevA,1,0
1,2,ZverevA,0,1
1,2,ZverevA,1,0
1,2,ZverevA,1,0
1,2,ZverevA,1,0
1,2,ZverevA,0,1
1,2,ZverevA,1,0
1,2,ZverevA,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,ZverevA,0,1
1,2,ZverevA,0,1
1,2,ZverevA,1,0
1,2,ZverevA,0,1
1,2,ZverevA,1,0
1,2,ZverevA,1,0
1,2,ZverevA,1,0
1,2,ZverevA,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,ZverevA,1,0
1,2,ZverevA,0,1
1,2,ZverevA,1,0
1,2,ZverevA,0,1
1,2,ZverevA,1,0
1,2,ZverevA,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,ZverevA,1,0
1,2,ZverevA,1,0
1,2,ZverevA,0,1
1,2,ZverevA,1,0
1,2,ZverevA,1,0
