FirstSecond,Set,Server,WonA,WonB
1,1,NadalR,1,0
1,1,NadalR,0,1
1,1,NadalR,1,0
1,1,NadalR,1,0
1,1,NadalR,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,0,1
1,1,NadalR,1,0
1,1,NadalR,0,1
1,1,NadalR,0,1
1,1,NadalR,1,0
1,1,NadalR,1,0
1,1,NadalR,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,0,1
1,1,KyrgiosN,0,1
1,1,KyrgiosN,0,1
1,1,NadalR,1,0
1,1,NadalR,1,0
1,1,NadalR,1,0
1,1,NadalR,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,0,1
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,1,0
1,1,NadalR,1,0
1,1,NadalR,1,0
1,1,NadalR,0,1
1,1,NadalR,1,0
1,1,NadalR,1,0
1,1,KyrgiosN,1,0
1,1,KyrgiosN,0,1
1,1,KyrgiosN,0,1
1,1,KyrgiosN,0,1
1,1,KyrgiosN,0,1
1,1,NadalR,1,0
1,1,NadalR,1,0
1,1,NadalR,1,0
1,1,NadalR,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,NadalR,0,1
1,2,NadalR,1,0
1,2,NadalR,1,0
1,2,NadalR,1,0
1,2,NadalR,0,1
1,2,NadalR,0,1
1,2,NadalR,1,0
1,2,NadalR,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,NadalR,0,1
1,2,NadalR,1,0
1,2,NadalR,1,0
1,2,NadalR,0,1
1,2,NadalR,0,1
1,2,NadalR,1,0
1,2,NadalR,1,0
1,2,NadalR,0,1
1,2,NadalR,1,0
1,2,NadalR,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,NadalR,1,0
1,2,NadalR,1,0
1,2,NadalR,1,0
1,2,NadalR,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,NadalR,1,0
1,2,NadalR,0,1
1,2,NadalR,0,1
1,2,NadalR,1,0
1,2,NadalR,1,0
1,2,NadalR,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,NadalR,1,0
1,2,NadalR,1,0
1,2,NadalR,1,0
1,2,NadalR,1,0
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,1,0
1,2,KyrgiosN,0,1
1,2,NadalR,1,0
1,2,NadalR,1,0
1,2,NadalR,1,0
1,2,NadalR,1,0
1,2,KyrgiosN,0,1
1,2,NadalR,0,1
1,2,NadalR,0,1
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,2,NadalR,1,0
1,2,NadalR,1,0
1,2,KyrgiosN,0,1
1,2,KyrgiosN,0,1
1,3,NadalR,1,0
