FirstSecond,Set,Server,WonA,WonB
1,1,HurkaczH,0,1
1,1,HurkaczH,1,0
1,1,HurkaczH,0,1
1,1,HurkaczH,0,1
1,1,HurkaczH,0,1
1,1,NishikoriK,1,0
1,1,NishikoriK,1,0
1,1,NishikoriK,1,0
1,1,NishikoriK,1,0
1,1,HurkaczH,0,1
1,1,HurkaczH,1,0
1,1,HurkaczH,0,1
1,1,HurkaczH,0,1
1,1,HurkaczH,1,0
1,1,HurkaczH,1,0
1,1,HurkaczH,0,1
1,1,HurkaczH,0,1
1,1,NishikoriK,1,0
1,1,NishikoriK,1,0
1,1,NishikoriK,1,0
1,1,NishikoriK,1,0
1,1,HurkaczH,1,0
1,1,HurkaczH,1,0
1,1,HurkaczH,0,1
1,1,HurkaczH,1,0
1,1,HurkaczH,0,1
1,1,HurkaczH,0,1
1,1,HurkaczH,0,1
1,1,HurkaczH,0,1
1,1,NishikoriK,1,0
1,1,NishikoriK,1,0
1,1,NishikoriK,1,0
1,1,NishikoriK,1,0
1,1,HurkaczH,0,1
1,1,HurkaczH,1,0
1,1,HurkaczH,0,1
1,1,HurkaczH,0,1
1,1,HurkaczH,1,0
1,1,HurkaczH,0,1
1,1,NishikoriK,1,0
1,1,NishikoriK,1,0
1,1,NishikoriK,1,0
1,1,NishikoriK,1,0
1,1,HurkaczH,0,1
1,1,HurkaczH,1,0
1,1,HurkaczH,1,0
1,1,HurkaczH,0,1
1,1,HurkaczH,1,0
1,1,HurkaczH,1,0
1,1,NishikoriK,0,1
1,1,NishikoriK,0,1
1,1,NishikoriK,1,0
1,1,NishikoriK,1,0
1,1,NishikoriK,0,1
1,1,NishikoriK,0,1
1,1,HurkaczH,0,1
1,1,HurkaczH,1,0
1,1,HurkaczH,0,1
1,1,HurkaczH,0,1
1,1,HurkaczH,0,1
1,1,NishikoriK,0,1
1,1,NishikoriK,0,1
1,1,NishikoriK,0,1
1,1,NishikoriK,0,1
1,2,HurkaczH,1,0
1,2,HurkaczH,1,0
1,2,HurkaczH,0,1
1,2,HurkaczH,1,0
1,2,HurkaczH,0,1
1,2,HurkaczH,1,0
1,2,NishikoriK,0,1
1,2,NishikoriK,0,1
1,2,NishikoriK,1,0
1,2,NishikoriK,1,0
1,2,NishikoriK,1,0
1,2,NishikoriK,1,0
1,2,HurkaczH,0,1
1,2,HurkaczH,1,0
1,2,HurkaczH,1,0
1,2,HurkaczH,1,0
1,2,HurkaczH,0,1
1,2,HurkaczH,1,0
1,2,NishikoriK,1,0
1,2,NishikoriK,1,0
1,2,NishikoriK,1,0
1,2,NishikoriK,1,0
1,2,HurkaczH,0,1
1,2,HurkaczH,0,1
1,2,HurkaczH,0,1
1,2,HurkaczH,0,1
1,2,NishikoriK,1,0
1,2,NishikoriK,0,1
1,2,NishikoriK,0,1
1,2,NishikoriK,1,0
1,2,NishikoriK,1,0
1,2,NishikoriK,1,0
1,2,HurkaczH,1,0
1,2,HurkaczH,0,1
1,2,HurkaczH,0,1
1,2,HurkaczH,1,0
1,2,HurkaczH,0,1
1,2,HurkaczH,0,1
1,2,NishikoriK,0,1
1,2,NishikoriK,0,1
1,2,NishikoriK,1,0
1,2,NishikoriK,1,0
1,2,NishikoriK,1,0
1,2,NishikoriK,0,1
1,2,NishikoriK,1,0
1,2,NishikoriK,0,1
1,2,NishikoriK,1,0
1,2,NishikoriK,0,1
1,2,NishikoriK,1,0
1,2,NishikoriK,0,1
1,2,NishikoriK,0,1
1,2,NishikoriK,1,0
1,2,NishikoriK,0,1
1,2,NishikoriK,0,1
1,2,HurkaczH,0,1
1,2,HurkaczH,0,1
1,2,HurkaczH,0,1
1,2,HurkaczH,0,1
1,2,NishikoriK,0,1
1,2,NishikoriK,0,1
1,2,NishikoriK,0,1
1,2,NishikoriK,0,1
1,2,HurkaczH,0,1
1,2,HurkaczH,0,1
1,2,HurkaczH,1,0
1,2,HurkaczH,1,0
1,2,HurkaczH,1,0
1,2,HurkaczH,1,0
1,2,NishikoriK,1,0
1,2,NishikoriK,1,0
1,2,NishikoriK,1,0
1,2,NishikoriK,0,1
1,2,NishikoriK,1,0
1,3,HurkaczH,0,1
1,3,HurkaczH,0,1
1,3,HurkaczH,1,0
1,3,HurkaczH,0,1
1,3,HurkaczH,1,0
1,3,HurkaczH,0,1
1,3,NishikoriK,1,0
1,3,NishikoriK,1,0
1,3,NishikoriK,0,1
1,3,NishikoriK,1,0
1,3,NishikoriK,1,0
1,3,HurkaczH,0,1
1,3,HurkaczH,1,0
1,3,HurkaczH,0,1
1,3,HurkaczH,0,1
1,3,HurkaczH,0,1
1,3,NishikoriK,0,1
1,3,NishikoriK,0,1
1,3,NishikoriK,1,0
1,3,NishikoriK,0,1
1,3,NishikoriK,0,1
1,3,HurkaczH,1,0
1,3,HurkaczH,0,1
1,3,HurkaczH,0,1
1,3,HurkaczH,0,1
1,3,HurkaczH,1,0
1,3,HurkaczH,1,0
1,3,HurkaczH,0,1
1,3,HurkaczH,0,1
1,3,NishikoriK,0,1
1,3,NishikoriK,1,0
1,3,NishikoriK,1,0
1,3,NishikoriK,0,1
1,3,NishikoriK,1,0
1,3,NishikoriK,1,0
1,3,HurkaczH,0,1
1,3,HurkaczH,0,1
1,3,HurkaczH,0,1
1,3,HurkaczH,0,1
1,3,NishikoriK,1,0
1,3,NishikoriK,0,1
1,3,NishikoriK,0,1
1,3,NishikoriK,0,1
1,3,NishikoriK,0,1
